Day,Date,Title,Link
Thursday, 13 December 2018,"KDE Ships KDE Applications 18.12.0",https://kde.org/announcements/applications/18.12.0/
Sunday, 9 December 2018,"Release of KDE Frameworks 5.53.0",https://kde.org/announcements/frameworks/5/5.53.0/
Friday, 30 November 2018,"KDE Ships Release Candidate of KDE Applications 18.12",https://kde.org/announcements/applications/18.12-rc/
Tuesday, 27 November 2018,"KDE Plasma 5.14.4, Bugfix Release for November",https://kde.org/announcements/plasma/5/5.14.4/
Friday, 16 November 2018,"KDE Ships Beta of KDE Applications 18.12",https://kde.org/announcements/applications/18.12-beta/
Saturday, 10 November 2018,"Release of KDE Frameworks 5.52.0",https://kde.org/announcements/frameworks/5/5.52.0/
Thursday, 8 November 2018,"KDE Ships KDE Applications 18.08.3",https://kde.org/announcements/applications/18.08.3/
Tuesday, 6 November 2018,"KDE Plasma 5.14.3, Bugfix Release for November",https://kde.org/announcements/plasma/5/5.14.3/
Tuesday, 23 October 2018,"KDE Plasma 5.14.2, Bugfix Release for October",https://kde.org/announcements/plasma/5/5.14.2/
Tuesday, 16 October 2018,"KDE Plasma 5.14.1, Bugfix Release for October",https://kde.org/announcements/plasma/5/5.14.1/
Monday, 15 October 2018,"Release of KDE Frameworks 5.51.0",https://kde.org/announcements/frameworks/5/5.51.0/
Thursday, 11 October 2018,"KDE Ships KDE Applications 18.08.2",https://kde.org/announcements/applications/18.08.2/
Tuesday, 9 October 2018,"KDE Plasma 5.14: Reliable, Light and Innovative.",https://kde.org/announcements/plasma/5/5.14.0/
Tuesday, 25 September 2018,"KDE Plasma 5.12.7, Bugfix Release for September",https://kde.org/announcements/plasma/5/5.12.7/
Thursday, 13 September 2018,"KDE Plasma 5.14 Beta: Reliable, Light and Innovative.",https://kde.org/announcements/plasma/5/5.13.90/
Saturday, 8 September 2018,"Release of KDE Frameworks 5.50.0",https://kde.org/announcements/frameworks/5/5.50.0/
Thursday, 6 September 2018,"KDE Ships KDE Applications 18.08.1",https://kde.org/announcements/applications/18.08.1/
Tuesday, 4 September 2018,"KDE Plasma 5.13.5, Bugfix Release for September",https://kde.org/announcements/plasma/5/5.13.5/
Thursday, 16 August 2018,"KDE Ships KDE Applications 18.08.0",https://kde.org/announcements/applications/18.08.0/
Saturday, 11 August 2018,"Release of KDE Frameworks 5.49.0",https://kde.org/announcements/frameworks/5/5.49.0/
Friday, 3 August 2018,"KDE Ships Release Candidate of KDE Applications 18.08",https://kde.org/announcements/applications/18.08-rc/
Tuesday, 31 July 2018,"KDE Plasma 5.13.4, Bugfix Release for July",https://kde.org/announcements/plasma/5/5.13.4/
Friday, 20 July 2018,"KDE Ships Beta of KDE Applications 18.08",https://kde.org/announcements/applications/18.08-beta/
Saturday, 14 July 2018,"Release of KDE Frameworks 5.48.0",https://kde.org/announcements/frameworks/5/5.48.0/
Thursday, 12 July 2018,"KDE Ships KDE Applications 18.04.3",https://kde.org/announcements/applications/18.04.3/
Tuesday, 10 July 2018,"KDE Plasma 5.13.3, Bugfix Release for July",https://kde.org/announcements/plasma/5/5.13.3/
Wednesday, 27 June 2018,"KDE Plasma 5.12.6, Bugfix Release for June",https://kde.org/announcements/plasma/5/5.12.6/
Tuesday, 26 June 2018,"KDE Plasma 5.13.2, Bugfix Release for June",https://kde.org/announcements/plasma/5/5.13.2/
Tuesday, 19 June 2018,"KDE Plasma 5.13.1, Bugfix Release for June",https://kde.org/announcements/plasma/5/5.13.1/
Tuesday, 12 June 2018,"KDE Plasma 5.13: Fast, Lightweight and Full Featured.",https://kde.org/announcements/plasma/5/5.13.0/
Saturday, 9 June 2018,"Release of KDE Frameworks 5.47.0",https://kde.org/announcements/frameworks/5/5.47.0/
Thursday, 7 June 2018,"KDE Ships KDE Applications 18.04.2",https://kde.org/announcements/applications/18.04.2/
Thursday, 17 May 2018,"KDE Plasma 5.13 Beta: Fast, Lightweight and Full Featured.",https://kde.org/announcements/plasma/5/5.12.90/
Saturday, 12 May 2018,"Release of KDE Frameworks 5.46.0",https://kde.org/announcements/frameworks/5/5.46.0/
Thursday, 10 May 2018,"KDE Ships KDE Applications 18.04.1",https://kde.org/announcements/applications/18.04.1/
Tuesday, 1 May 2018,"KDE Plasma 5.12.5, Bugfix Release for May",https://kde.org/announcements/plasma/5/5.12.5/
Thursday, 19 April 2018,"KDE Ships KDE Applications 18.04.0",https://kde.org/announcements/applications/18.04.0/
Saturday, 14 April 2018,"Release of KDE Frameworks 5.45.0",https://kde.org/announcements/frameworks/5/5.45.0/
Friday, 6 April 2018,"KDE Ships Release Candidate of KDE Applications 18.04",https://kde.org/announcements/applications/18.04-rc/
Tuesday, 27 March 2018,"KDE Plasma 5.12.4, Bugfix Release for March",https://kde.org/announcements/plasma/5/5.12.4/
Friday, 23 March 2018,"KDE Ships Beta of KDE Applications 18.04",https://kde.org/announcements/applications/18.04-beta/
Saturday, 10 March 2018,"Release of KDE Frameworks 5.44.0",https://kde.org/announcements/frameworks/5/5.44.0/
Thursday, 8 March 2018,"KDE Ships KDE Applications 17.12.3",https://kde.org/announcements/applications/17.12.3/
Tuesday, 6 March 2018,"KDE Plasma 5.12.3, Bugfix Release for March",https://kde.org/announcements/plasma/5/5.12.3/
Tuesday, 20 February 2018,"KDE Plasma 5.12.2, Bugfix Release for February",https://kde.org/announcements/plasma/5/5.12.2/
Tuesday, 13 February 2018,"KDE Plasma 5.12.1, Bugfix Release for February",https://kde.org/announcements/plasma/5/5.12.1/
Monday, 12 February 2018,"Release of KDE Frameworks 5.43.0",https://kde.org/announcements/frameworks/5/5.43.0/
Thursday, 8 February 2018,"KDE Ships KDE Applications 17.12.2",https://kde.org/announcements/applications/17.12.2/
Wednesday, 7 February 2018,"KDE Plasma 5.8.9, Bugfix Release for February",https://kde.org/announcements/plasma/5/5.8.9/
Tuesday, 6 February 2018,"KDE Plasma 5.12.0 LTS, Speed. Stability. Simplicity.",https://kde.org/announcements/plasma/5/5.12.0/
Monday, 15 January 2018,"Plasma 5.12 LTS Beta Makes Your Desktop Smoother and Speedier",https://kde.org/announcements/plasma/5/5.11.95/
Saturday, 13 January 2018,"Release of KDE Frameworks 5.42.0",https://kde.org/announcements/frameworks/5/5.42.0/
Thursday, 11 January 2018,"KDE Ships KDE Applications 17.12.1",https://kde.org/announcements/applications/17.12.1/
Tuesday, 2 January 2018,"KDE Plasma 5.11.5, Bugfix Release for January",https://kde.org/announcements/plasma/5/5.11.5/
Thursday, 14 December 2017,"KDE Ships KDE Applications 17.12.0",https://kde.org/announcements/applications/17.12.0/
Sunday, 10 December 2017,"Release of KDE Frameworks 5.41.0",https://kde.org/announcements/frameworks/5/5.41.0/
Friday, 1 December 2017,"KDE Ships Release Candidate of KDE Applications 17.12",https://kde.org/announcements/applications/17.12-rc/
Tuesday, 28 November 2017,"KDE Plasma 5.11.4, Bugfix Release for November",https://kde.org/announcements/plasma/5/5.11.4/
Friday, 17 November 2017,"KDE Ships Beta of KDE Applications 17.12",https://kde.org/announcements/applications/17.12-beta/
Saturday, 11 November 2017,"Release of KDE Frameworks 5.40.0",https://kde.org/announcements/frameworks/5/5.40.0/
Thursday, 9 November 2017,"KDE Ships KDE Applications 17.08.3",https://kde.org/announcements/applications/17.08.3/
Tuesday, 7 November 2017,"KDE Plasma 5.11.3, Bugfix Release for November",https://kde.org/announcements/plasma/5/5.11.3/
Wednesday, 25 October 2017,"KDE Plasma 5.8.8, Bugfix Release for October",https://kde.org/announcements/plasma/5/5.8.8/
Tuesday, 24 October 2017,"KDE Plasma 5.11.2, Bugfix Release for October",https://kde.org/announcements/plasma/5/5.11.2/
Tuesday, 17 October 2017,"KDE Plasma 5.11.1, Bugfix Release for October",https://kde.org/announcements/plasma/5/5.11.1/
Saturday, 14 October 2017,"Release of KDE Frameworks 5.39.0",https://kde.org/announcements/frameworks/5/5.39.0/
Thursday, 12 October 2017,"KDE Ships KDE Applications 17.08.2",https://kde.org/announcements/applications/17.08.2/
Tuesday, 10 October 2017,"Plasma 5.11 Makes the Desktop More Powerful, Elegant and Secure",https://kde.org/announcements/plasma/5/5.11.0/
Thursday, 14 September 2017,"Plasma 5.11 Beta Makes the Desktop More Powerful, Elegant and Secure",https://kde.org/announcements/plasma/5/5.10.95/
Thursday, 14 September 2017,"Purism and KDE to Work Together on World's First Truly Free Smartphone",https://kde.org/announcements/plasma-mobile/kde-purism-librem5/
Saturday, 9 September 2017,"Release of KDE Frameworks 5.38.0",https://kde.org/announcements/frameworks/5/5.38.0/
Thursday, 7 September 2017,"KDE Ships KDE Applications 17.08.1",https://kde.org/announcements/applications/17.08.1/
Tuesday, 22 August 2017,"KDE Plasma 5.10.5, Bugfix Release for August",https://kde.org/announcements/plasma/5/5.10.5/
Thursday, 17 August 2017,"KDE Ships KDE Applications 17.08.0",https://kde.org/announcements/applications/17.08.0/
Sunday, 13 August 2017,"Release of KDE Frameworks 5.37.0",https://kde.org/announcements/frameworks/5/5.37.0/
Friday, 4 August 2017,"KDE Ships Release Candidate of KDE Applications 17.08",https://kde.org/announcements/applications/17.08-rc/
Friday, 21 July 2017,"KDE Ships Beta of KDE Applications 17.08",https://kde.org/announcements/applications/17.08-beta/
Tuesday, 18 July 2017,"KDE Plasma 5.10.4, Bugfix Release for July",https://kde.org/announcements/plasma/5/5.10.4/
Thursday, 13 July 2017,"KDE Ships KDE Applications 17.04.3",https://kde.org/announcements/applications/17.04.3/
Saturday, 8 July 2017,"Release of KDE Frameworks 5.36.0",https://kde.org/announcements/frameworks/5/5.36.0/
Tuesday, 27 June 2017,"KDE Plasma 5.10.3, Bugfix Release for June",https://kde.org/announcements/plasma/5/5.10.3/
Tuesday, 13 June 2017,"KDE Plasma 5.10.2, Bugfix Release for June",https://kde.org/announcements/plasma/5/5.10.2/
Saturday, 10 June 2017,"Release of KDE Frameworks 5.35.0",https://kde.org/announcements/frameworks/5/5.35.0/
Thursday, 8 June 2017,"KDE Ships KDE Applications 17.04.2",https://kde.org/announcements/applications/17.04.2/
Tuesday, 6 June 2017,"KDE Plasma 5.10.1, Bugfix Release for June",https://kde.org/announcements/plasma/5/5.10.1/
Tuesday, 30 May 2017,"KDE Plasma 5.10, Simple by Default, Powerful when Needed",https://kde.org/announcements/plasma/5/5.10.0/
Tuesday, 23 May 2017,"KDE Plasma 5.8.7, Bugfix Release for May",https://kde.org/announcements/plasma/5/5.8.7/
Monday, 15 May 2017,"KDE Plasma 5.10 Beta, Simple by Default, Powerful when Needed",https://kde.org/announcements/plasma/5/5.9.95/
Saturday, 13 May 2017,"Release of KDE Frameworks 5.34.0",https://kde.org/announcements/frameworks/5/5.34.0/
Thursday, 11 May 2017,"KDE Ships KDE Applications 17.04.1",https://kde.org/announcements/applications/17.04.1/
Tuesday, 25 April 2017,"KDE Plasma 5.9.5, Bugfix Release for April",https://kde.org/announcements/plasma/5/5.9.5/
Thursday, 20 April 2017,"KDE Ships KDE Applications 17.04.0",https://kde.org/announcements/applications/17.04.0/
Saturday, 8 April 2017,"Release of KDE Frameworks 5.33.0",https://kde.org/announcements/frameworks/5/5.33.0/
Friday, 7 April 2017,"KDE Ships Release Candidate of KDE Applications 17.04",https://kde.org/announcements/applications/17.04-rc/
Friday, 24 March 2017,"KDE Ships Beta of KDE Applications 17.04",https://kde.org/announcements/applications/17.04-beta/
Tuesday, 21 March 2017,"KDE Plasma 5.9.4, Bugfix Release for March",https://kde.org/announcements/plasma/5/5.9.4/
Saturday, 11 March 2017,"Release of KDE Frameworks 5.32.0",https://kde.org/announcements/frameworks/5/5.32.0/
Thursday, 9 March 2017,"KDE Ships KDE Applications 16.12.3",https://kde.org/announcements/applications/16.12.3/
Tuesday, 28 February 2017,"KDE Plasma 5.9.3, Bugfix Release for February",https://kde.org/announcements/plasma/5/5.9.3/
Tuesday, 21 February 2017,"KDE Plasma 5.8.6, Bugfix Release for February",https://kde.org/announcements/plasma/5/5.8.6/
Tuesday, 14 February 2017,"KDE Plasma 5.9.2, Bugfix Release for February",https://kde.org/announcements/plasma/5/5.9.2/
Saturday, 11 February 2017,"Release of KDE Frameworks 5.31.0",https://kde.org/announcements/frameworks/5/5.31.0/
Thursday, 9 February 2017,"KDE Ships KDE Applications 16.12.2",https://kde.org/announcements/applications/16.12.2/
Tuesday, 7 February 2017,"KDE Plasma 5.9.1, Bugfix Release for February",https://kde.org/announcements/plasma/5/5.9.1/
Tuesday, 31 January 2017,"Plasma 5.9 Kicks off 2017 in Style.",https://kde.org/announcements/plasma/5/5.9.0/
Saturday, 14 January 2017,"Release of KDE Frameworks 5.30.0",https://kde.org/announcements/frameworks/5/5.30.0/
Thursday, 12 January 2017,"KDE Ships KDE Applications 16.12.1",https://kde.org/announcements/applications/16.12.1/
Thursday, 12 January 2017,"Plasma 5.9 Beta Kicks off 2017 in Style.",https://kde.org/announcements/plasma/5/5.8.95/
Tuesday, 27 December 2016,"KDE Plasma 5.8.5, Bugfix Release for December",https://kde.org/announcements/plasma/5/5.8.5/
Thursday, 15 December 2016,"KDE Ships KDE Applications 16.12.0",https://kde.org/announcements/applications/16.12.0/
Monday, 12 December 2016,"Release of KDE Frameworks 5.29.0",https://kde.org/announcements/frameworks/5/5.29.0/
Friday, 2 December 2016,"KDE Ships Release Candidate of KDE Applications 16.12",https://kde.org/announcements/applications/16.12-rc/
Tuesday, 22 November 2016,"KDE Plasma 5.8.4, Bugfix Release for November",https://kde.org/announcements/plasma/5/5.8.4/
Friday, 18 November 2016,"KDE Ships Beta of KDE Applications 16.12",https://kde.org/announcements/applications/16.12-beta/
Tuesday, 15 November 2016,"Release of KDE Frameworks 5.28.0",https://kde.org/announcements/frameworks/5/5.28.0/
Thursday, 10 November 2016,"KDE Ships KDE Applications 16.08.3",https://kde.org/announcements/applications/16.08.3/
Tuesday, 1 November 2016,"KDE Plasma 5.8.3, Bugfix Release for November",https://kde.org/announcements/plasma/5/5.8.3/
Tuesday, 18 October 2016,"KDE Plasma 5.8.2, Bugfix Release for October",https://kde.org/announcements/plasma/5/5.8.2/
Thursday, 13 October 2016,"KDE Ships KDE Applications 16.08.2",https://kde.org/announcements/applications/16.08.2/
Tuesday, 11 October 2016,"KDE Plasma 5.8.1, Bugfix Release for October",https://kde.org/announcements/plasma/5/5.8.1/
Saturday, 8 October 2016,"Release of KDE Frameworks 5.27.0",https://kde.org/announcements/frameworks/5/5.27.0/
Tuesday, 4 October 2016,"KDE at 20: Plasma 5.8 LTS. Here for the Long Term.",https://kde.org/announcements/plasma/5/5.8.0/
Monday, 26 September 2016,"Kirigami 1.1",https://kde.org/announcements/kirigami-1.1/
Thursday, 15 September 2016,"KDE at 20: Plasma 5.8 LTS Beta. Here for the Long Term.",https://kde.org/announcements/plasma/5/5.7.95/
Tuesday, 13 September 2016,"KDE Plasma 5.7.5, Bugfix Release for September",https://kde.org/announcements/plasma/5/5.7.5/
Saturday, 10 September 2016,"Release of KDE Frameworks 5.26.0",https://kde.org/announcements/frameworks/5/5.26.0/
Thursday, 8 September 2016,"KDE Ships KDE Applications 16.08.1",https://kde.org/announcements/applications/16.08.1/
Tuesday, 23 August 2016,"KDE Plasma 5.7.4, Bugfix Release for August",https://kde.org/announcements/plasma/5/5.7.4/
Thursday, 18 August 2016,"KDE Ships KDE Applications 16.08.0",https://kde.org/announcements/applications/16.08.0/
Saturday, 13 August 2016,"Release of KDE Frameworks 5.25.0",https://kde.org/announcements/frameworks/5/5.25.0/
Friday, 5 August 2016,"KDE Ships Release Candidate of KDE Applications 16.08",https://kde.org/announcements/applications/16.08-rc/
Tuesday, 2 August 2016,"KDE Plasma 5.7.3, Bugfix Release for August",https://kde.org/announcements/plasma/5/5.7.3/
Friday, 22 July 2016,"KDE Ships Beta of KDE Applications 16.08",https://kde.org/announcements/applications/16.08-beta/
Tuesday, 19 July 2016,"KDE Plasma 5.7.2, Bugfix Release for July",https://kde.org/announcements/plasma/5/5.7.2/
Tuesday, 12 July 2016,"KDE Plasma 5.7.1, Bugfix Release for July",https://kde.org/announcements/plasma/5/5.7.1/
Tuesday, 12 July 2016,"KDE Ships KDE Applications 16.04.3",https://kde.org/announcements/applications/16.04.3/
Saturday, 9 July 2016,"Release of KDE Frameworks 5.24.0",https://kde.org/announcements/frameworks/5/5.24.0/
Tuesday, 5 July 2016,"KDE Plasma 5.7 Release",https://kde.org/announcements/plasma/5/5.7.0/
Thursday, 16 June 2016,"KDE Plasma 5.7 Beta Release",https://kde.org/announcements/plasma/5/5.6.95/
Tuesday, 14 June 2016,"KDE Plasma 5.6.5, Bugfix Release for June",https://kde.org/announcements/plasma/5/5.6.5/
Tuesday, 14 June 2016,"KDE Ships KDE Applications 16.04.2",https://kde.org/announcements/applications/16.04.2/
Monday, 13 June 2016,"Release of KDE Frameworks 5.23.0",https://kde.org/announcements/frameworks/5/5.23.0/
Sunday, 15 May 2016,"Release of KDE Frameworks 5.22.0",https://kde.org/announcements/frameworks/5/5.22.0/
Tuesday, 10 May 2016,"KDE Plasma 5.6.4, Bugfix Release for May",https://kde.org/announcements/plasma/5/5.6.4/
Tuesday, 10 May 2016,"KDE Ships KDE Applications 16.04.1",https://kde.org/announcements/applications/16.04.1/
Wednesday, 20 April 2016,"KDE Ships KDE Applications 16.04.0",https://kde.org/announcements/applications/16.04.0/
Tuesday, 19 April 2016,"KDE Plasma 5.6.3, Bugfix Release for April",https://kde.org/announcements/plasma/5/5.6.3/
Saturday, 9 April 2016,"Release of KDE Frameworks 5.21.0",https://kde.org/announcements/frameworks/5/5.21.0/
Tuesday, 5 April 2016,"KDE Plasma 5.6.2, Bugfix Release for April",https://kde.org/announcements/plasma/5/5.6.2/
Tuesday, 5 April 2016,"KDE Ships Release Candidate of KDE Applications 16.04",https://kde.org/announcements/applications/16.04-rc/
Tuesday, 29 March 2016,"KDE Plasma 5.6.1, Bugfix Release for March",https://kde.org/announcements/plasma/5/5.6.1/
Thursday, 24 March 2016,"KDE Ships Beta of KDE Applications 16.04",https://kde.org/announcements/applications/16.04-beta/
Tuesday, 22 March 2016,"KDE Plasma 5.6 Release",https://kde.org/announcements/plasma/5/5.6.0/
Wednesday, 16 March 2016,"KDE Ships KDE Applications 15.12.3",https://kde.org/announcements/applications/15.12.3/
Sunday, 13 March 2016,"Release of KDE Frameworks 5.20.0",https://kde.org/announcements/frameworks/5/5.20.0/
Wednesday, 2 March 2016,"KDE Plasma 5.6 Beta Release",https://kde.org/announcements/plasma/5/5.5.95/
Tuesday, 1 March 2016,"KDE Plasma 5.5.5, Bugfix Release for March",https://kde.org/announcements/plasma/5/5.5.5/
Tuesday, 16 February 2016,"KDE Ships KDE Applications 15.12.2",https://kde.org/announcements/applications/15.12.2/
Saturday, 13 February 2016,"Release of KDE Frameworks 5.19.0",https://kde.org/announcements/frameworks/5/5.19.0/
Tuesday, 26 January 2016,"KDE Plasma 5.5.4, Bugfix Release for January",https://kde.org/announcements/plasma/5/5.5.4/
Tuesday, 12 January 2016,"KDE Ships KDE Applications 15.12.1",https://kde.org/announcements/applications/15.12.1/
Saturday, 9 January 2016,"Release of KDE Frameworks 5.18.0",https://kde.org/announcements/frameworks/5/5.18.0/
Wednesday, 6 January 2016,"KDE Plasma 5.5.3, Bugfix Release for January",https://kde.org/announcements/plasma/5/5.5.3/
Tuesday, 22 December 2015,"KDE Plasma 5.5.2, Bugfix Release for December",https://kde.org/announcements/plasma/5/5.5.2/
Wednesday, 16 December 2015,"KDE Ships KDE Applications 15.12.0",https://kde.org/announcements/applications/15.12.0/
Tuesday, 15 December 2015,"KDE Plasma 5.5.1, Bugfix Release for December",https://kde.org/announcements/plasma/5/5.5.1/
Saturday, 12 December 2015,"Release of KDE Frameworks 5.17.0",https://kde.org/announcements/frameworks/5/5.17.0/
Tuesday, 8 December 2015,"KDE Plasma 5.5 Release",https://kde.org/announcements/plasma/5/5.5.0/
Thursday, 3 December 2015,"KDE Ships Release Candidate of KDE Applications 15.12",https://kde.org/announcements/applications/15.12-rc/
Friday, 20 November 2015,"KDE Ships Beta of KDE Applications 15.12",https://kde.org/announcements/applications/15.12-beta/
Thursday, 19 November 2015,"KDE Plasma 5.5 Beta Release",https://kde.org/announcements/plasma/5/5.4.95/
Friday, 13 November 2015,"Release of KDE Frameworks 5.16.0",https://kde.org/announcements/frameworks/5/5.16.0/
Tuesday, 10 November 2015,"KDE Plasma 5.4.3, Bugfix Release for November",https://kde.org/announcements/plasma/5/5.4.3/
Tuesday, 10 November 2015,"KDE Ships KDE Applications 15.08.3",https://kde.org/announcements/applications/15.08.3/
Tuesday, 13 October 2015,"KDE Ships KDE Applications 15.08.2",https://kde.org/announcements/applications/15.08.2/
Saturday, 10 October 2015,"Release of KDE Frameworks 5.15.0",https://kde.org/announcements/frameworks/5/5.15.0/
Tuesday, 6 October 2015,"KDE Plasma 5.4.2, Bugfix Release for October",https://kde.org/announcements/plasma/5/5.4.2/
Tuesday, 15 September 2015,"KDE Ships KDE Applications 15.08.1",https://kde.org/announcements/applications/15.08.1/
Saturday, 12 September 2015,"Release of KDE Frameworks 5.14.0",https://kde.org/announcements/frameworks/5/5.14.0/
Tuesday, 8 September 2015,"KDE Plasma 5.4.1, Bugfix Release for September",https://kde.org/announcements/plasma/5/5.4.1/
Tuesday, 25 August 2015,"KDE Plasma 5.4 Release",https://kde.org/announcements/plasma/5/5.4.0/
Wednesday, 19 August 2015,"KDE Ships KDE Applications 15.08.0",https://kde.org/announcements/applications/15.08.0/
Wednesday, 12 August 2015,"Release of KDE Frameworks 5.13.0",https://kde.org/announcements/frameworks/5/5.13.0/
Tuesday, 11 August 2015,"KDE Plasma 5.4 Beta Release",https://kde.org/announcements/plasma/5/5.3.95/
Thursday, 6 August 2015,"KDE Ships Release Candidate of KDE Applications 15.08",https://kde.org/announcements/applications/15.08-rc/
Tuesday, 28 July 2015,"KDE Ships Beta of KDE Applications 15.08",https://kde.org/announcements/applications/15.08-beta/
Friday, 10 July 2015,"Release of KDE Frameworks 5.12.0",https://kde.org/announcements/frameworks/5/5.12.0/
Wednesday, 1 July 2015,"KDE Ships KDE Applications 15.04.3",https://kde.org/announcements/applications/15.04.3/
Tuesday, 30 June 2015,"KDE Plasma 5.3.2, Bugfix Release for June",https://kde.org/announcements/plasma/5/5.3.2/
Friday, 12 June 2015,"Release of KDE Frameworks 5.11.0",https://kde.org/announcements/frameworks/5/5.11.0/
Tuesday, 2 June 2015,"KDE Ships KDE Applications 15.04.2",https://kde.org/announcements/applications/15.04.2/
Tuesday, 26 May 2015,"KDE Plasma 5.3.1, Bugfix Release for May",https://kde.org/announcements/plasma/5/5.3.1/
Tuesday, 12 May 2015,"KDE Ships KDE Applications 15.04.1",https://kde.org/announcements/applications/15.04.1/
Friday, 8 May 2015,"Release of KDE Frameworks 5.10.0",https://kde.org/announcements/frameworks/5/5.10.0/
Tuesday, 28 April 2015,"KDE Plasma 5.3 Release",https://kde.org/announcements/plasma/5/5.3.0/
Wednesday, 15 April 2015,"KDE Ships KDE Applications 15.04.0",https://kde.org/announcements/applications/15.04.0/
Tuesday, 14 April 2015,"KDE Plasma 5.3 Beta Release",https://kde.org/announcements/plasma/5/5.2.95/
Friday, 10 April 2015,"Release of KDE Frameworks 5.9.0",https://kde.org/announcements/frameworks/5/5.9.0/
Thursday, 26 March 2015,"KDE Ships Release Candidate of KDE Applications 15.04",https://kde.org/announcements/applications/15.04-rc/
Tuesday, 24 March 2015,"KDE Plasma 5.2.2, Bugfix Release for March",https://kde.org/announcements/plasma/5/5.2.2/
Thursday, 19 March 2015,"KDE Ships Third Beta of KDE Applications 15.04",https://kde.org/announcements/applications/15.04-beta3/
Friday, 13 March 2015,"Release of KDE Frameworks 5.8.0",https://kde.org/announcements/frameworks/5/5.8.0/
Thursday, 12 March 2015,"KDE Ships Second Beta of KDE Applications 15.04",https://kde.org/announcements/applications/15.04-beta2/
Friday, 6 March 2015,"KDE Ships First Beta of KDE Applications 15.04",https://kde.org/announcements/applications/15.04-beta1/
Tuesday, 3 March 2015,"KDE Ships KDE Applications 14.12.3",https://kde.org/announcements/applications/14.12.3/
Tuesday, 24 February 2015,"KDE Plasma 5.2.1, Bugfix Release for February",https://kde.org/announcements/plasma/5/5.2.1/
Saturday, 14 February 2015,"Release of KDE Frameworks 5.7.0",https://kde.org/announcements/frameworks/5/5.7.0/
Tuesday, 3 February 2015,"KDE Ships KDE Applications 14.12.2",https://kde.org/announcements/applications/14.12.2/
Tuesday, 27 January 2015,"KDE Plasma 5.2 Release",https://kde.org/announcements/plasma/5/5.2.0/
Tuesday, 13 January 2015,"KDE Plasma 5.2 Beta Release",https://kde.org/announcements/plasma/5/5.1.95/
Thursday, 8 January 2015,"Release of KDE Frameworks 5.6.0",https://kde.org/announcements/frameworks/5/5.6.0/
Thursday, 8 January 2015,"KDE Ships KDE Applications 14.12.1",https://kde.org/announcements/applications/14.12.1/
Wednesday, 17 December 2014,"KDE Ships KDE Applications 14.12",https://kde.org/announcements/applications/14.12.0/
Tuesday, 16 December 2014,"KDE Plasma 5.1.2, Bugfix Release for December",https://kde.org/announcements/plasma/5/5.1.2/
Thursday, 11 December 2014,"Release of KDE Frameworks 5.5.0",https://kde.org/announcements/frameworks/5/5.5.0/
Thursday, 27 November 2014,"KDE Ships Release Candidate of KDE Applications 14.12",https://kde.org/announcements/applications/14.12-rc/
Thursday, 20 November 2014,"KDE Ships Third Beta of KDE Applications 14.12",https://kde.org/announcements/applications/14.12-beta3/
Thursday, 13 November 2014,"KDE Ships Second Beta of KDE Applications 14.12",https://kde.org/announcements/applications/14.12-beta2/
Tuesday, 11 November 2014,"KDE Plasma 5.1.1, Bugfix Release for November",https://kde.org/announcements/plasma/5/5.1.1/
Tuesday, 11 November 2014,"KDE Ships Applications and Platform 4.14.3",https://kde.org/announcements/4/4.14.3/
Thursday, 6 November 2014,"Release of KDE Frameworks 5.4.0",https://kde.org/announcements/frameworks/5/5.4.0/
Thursday, 6 November 2014,"KDE Ships First Beta of KDE Applications 14.12",https://kde.org/announcements/applications/14.12-beta1/
Wednesday, 15 October 2014,"Plasma 5.1 Brings Back Many Popular Features",https://kde.org/announcements/plasma/5/5.1.0/
Tuesday, 14 October 2014,"KDE Ships Applications and Platform 4.14.2",https://kde.org/announcements/4/4.14.2/
Tuesday, 7 October 2014,"Release of KDE Frameworks 5.3.0",https://kde.org/announcements/frameworks/5/5.3.0/
Tuesday, 30 September 2014,"KDE Ships Beta for Plasma 5's Second Release",https://kde.org/announcements/plasma/5/5.0.95/
Wednesday, 17 September 2014,"KDE Ships Second Bugfix Release of Plasma 5",https://kde.org/announcements/plasma/5/5.0.2/
Tuesday, 16 September 2014,"KDE Ships Applications and Platform 4.14.1",https://kde.org/announcements/4/4.14.1/
Friday, 12 September 2014,"Release of KDE Frameworks 5.2.0",https://kde.org/announcements/frameworks/5/5.2.0/
Wednesday, 20 August 2014,"KDE Software Compilation 4.14",https://kde.org/announcements/4/4.14.0/
Tuesday, 12 August 2014,"KDE Ships First Bugfix Release of Plasma 5",https://kde.org/announcements/plasma/5/5.0.1/
Friday, 8 August 2014,"Second release of KDE Frameworks 5",https://kde.org/announcements/frameworks/5/5.1.0/
Thursday, 31 July 2014,"KDE Ships Release Candidate of Applications and Platform 4.14",https://kde.org/announcements/4/4.14-rc/
Thursday, 24 July 2014,"KDE Ships Third Beta of Applications and Platform 4.14",https://kde.org/announcements/4/4.14-beta3/
Thursday, 17 July 2014,"KDE Ships Second Beta of Applications and Platform 4.14",https://kde.org/announcements/4/4.14-beta2/
Tuesday, 15 July 2014,"KDE Ships July Updates to Applications, Platform and Plasma Workspaces",https://kde.org/announcements/4/4.13.3/
Tuesday, 15 July 2014,"New Plasma brings a cleaner interface on top of a new graphics stack",https://kde.org/announcements/plasma/5/5.0/
