Day,Date,Title,Link
Thursday, 13 October 2022,"KDE Gear 22.08.2",https://kde.org/announcements/gear/22.08.2/
Tuesday, 11 October 2022,"Plasma 5.26",https://kde.org/announcements/plasma/5/5.26.0/
Sunday, 9 October 2022,"KDE Ships Frameworks 5.99.0",https://kde.org/announcements/frameworks/5/5.99.0/
Wednesday, 14 September 2022,"Plasma 5.26 Beta",https://kde.org/announcements/plasma/5/5.25.90/
Monday, 12 September 2022,"KDE Ships Frameworks 5.98.0",https://kde.org/announcements/frameworks/5/5.98.0/
Thursday, 8 September 2022,"KDE Gear 22.08.1",https://kde.org/announcements/gear/22.08.1/
Tuesday, 6 September 2022,"KDE Plasma 5.25.5, Bugfix Release for September",https://kde.org/announcements/plasma/5/5.25.5/
Thursday, 18 August 2022,"KDE Gear 22.08",https://kde.org/announcements/gear/22.08.0/
Sunday, 14 August 2022,"KDE Ships Frameworks 5.97.0",https://kde.org/announcements/frameworks/5/5.97.0/
Tuesday, 2 August 2022,"KDE Plasma 5.25.4, Bugfix Release for August",https://kde.org/announcements/plasma/5/5.25.4/
Tuesday, 12 July 2022,"KDE Plasma 5.25.3, Bugfix Release for July",https://kde.org/announcements/plasma/5/5.25.3/
Monday, 11 July 2022,"KDE Plasma 5.24.6, Bugfix Release for July",https://kde.org/announcements/plasma/5/5.24.6/
Saturday, 9 July 2022,"KDE Ships Frameworks 5.96.0",https://kde.org/announcements/frameworks/5/5.96.0/
Thursday, 7 July 2022,"KDE Gear 22.04.3",https://kde.org/announcements/gear/22.04.3/
Tuesday, 28 June 2022,"KDE Plasma 5.25.2, Bugfix Release for June",https://kde.org/announcements/plasma/5/5.25.2/
Tuesday, 21 June 2022,"KDE Plasma 5.25.1, Bugfix Release for June",https://kde.org/announcements/plasma/5/5.25.1/
Tuesday, 14 June 2022,"Plasma 5.25",https://kde.org/announcements/plasma/5/5.25.0/
Sunday, 12 June 2022,"KDE Ships Frameworks 5.95.0",https://kde.org/announcements/frameworks/5/5.95.0/
Thursday, 9 June 2022,"KDE Gear 22.04.2",https://kde.org/announcements/gear/22.04.2/
Thursday, 19 May 2022,"Plasma 5.25 Beta",https://kde.org/announcements/plasma/5/5.24.90/
Saturday, 14 May 2022,"KDE Ships Frameworks 5.94.0",https://kde.org/announcements/frameworks/5/5.94.0/
Thursday, 12 May 2022,"KDE Gear 22.04.1",https://kde.org/announcements/gear/22.04.1/
Tuesday, 3 May 2022,"KDE Plasma 5.24.5, Bugfix Release for May",https://kde.org/announcements/plasma/5/5.24.5/
Thursday, 21 April 2022,"KDE Gear 22.04",https://kde.org/announcements/gear/22.04.0/
Saturday, 9 April 2022,"KDE Ships Frameworks 5.93.0",https://kde.org/announcements/frameworks/5/5.93.0/
Tuesday, 29 March 2022,"KDE Plasma 5.24.4, Bugfix Release for March",https://kde.org/announcements/plasma/5/5.24.4/
Wednesday, 16 March 2022,"First Ever Eco-Certified Computer Program: KDE's Popular PDF Reader Okular",https://eco.kde.org/blog/2022-03-16-press-release-okular-blue-angel/
Saturday, 12 March 2022,"KDE Ships Frameworks 5.92.0",https://kde.org/announcements/frameworks/5/5.92.0/
Tuesday, 8 March 2022,"KDE Plasma 5.24.3, Bugfix Release for March",https://kde.org/announcements/plasma/5/5.24.3/
Thursday, 3 March 2022,"KDE Gear 21.12.3",https://kde.org/announcements/gear/21.12.3/
Tuesday, 22 February 2022,"KDE Plasma 5.24.2, Bugfix Release for February",https://kde.org/announcements/plasma/5/5.24.2/
Tuesday, 15 February 2022,"KDE Plasma 5.24.1, Bugfix Release for February",https://kde.org/announcements/plasma/5/5.24.1/
Sunday, 13 February 2022,"KDE Ships Frameworks 5.91.0",https://kde.org/announcements/frameworks/5/5.91.0/
Tuesday, 8 February 2022,"Plasma 5.24",https://kde.org/announcements/plasma/5/5.24.0/
Thursday, 3 February 2022,"KDE Gear 21.12.2",https://kde.org/announcements/gear/21.12.2/
Thursday, 13 January 2022,"Plasma 5.24 Beta",https://kde.org/announcements/plasma/5/5.23.90/
Saturday, 8 January 2022,"KDE Ships Frameworks 5.90.0",https://kde.org/announcements/frameworks/5/5.90.0/
Thursday, 6 January 2022,"KDE Gear 21.12.1",https://kde.org/announcements/gear/21.12.1/
Tuesday, 4 January 2022,"KDE Plasma 5.23.5, Bugfix Release for January",https://kde.org/announcements/plasma/5/5.23.5/
Saturday, 11 December 2021,"KDE Ships Frameworks 5.89.0",https://kde.org/announcements/frameworks/5/5.89.0/
Thursday, 9 December 2021,"KDE Gear 21.12",https://kde.org/announcements/gear/21.12.0/
Tuesday, 30 November 2021,"KDE Plasma 5.23.4, Bugfix Release for November",https://kde.org/announcements/plasma/5/5.23.4/
Saturday, 13 November 2021,"KDE Ships Frameworks 5.88.0",https://kde.org/announcements/frameworks/5/5.88.0/
Tuesday, 9 November 2021,"KDE Plasma 5.23.3, Bugfix Release for November",https://kde.org/announcements/plasma/5/5.23.3/
Thursday, 4 November 2021,"KDE Gear 21.08.3",https://kde.org/announcements/gear/21.08.3/
Tuesday, 26 October 2021,"KDE Plasma 5.23.2, Bugfix Release for October",https://kde.org/announcements/plasma/5/5.23.2/
Tuesday, 19 October 2021,"KDE Plasma 5.18.8, Bugfix Release for October",https://kde.org/announcements/plasma/5/5.18.8/
Tuesday, 19 October 2021,"KDE Plasma 5.23.1, Bugfix Release for October",https://kde.org/announcements/plasma/5/5.23.1/
Thursday, 14 October 2021,"Plasma - 25th Anniversary Edition",https://kde.org/announcements/plasma/5/5.23.0/
Saturday, 9 October 2021,"KDE Ships Frameworks 5.87.0",https://kde.org/announcements/frameworks/5/5.87.0/
Thursday, 7 October 2021,"KDE Gear 21.08.2",https://kde.org/announcements/gear/21.08.2/
Thursday, 16 September 2021,"Plasma 25th Anniversary Edition Beta",https://kde.org/announcements/plasma/5/5.22.90/
Saturday, 11 September 2021,"KDE Ships Frameworks 5.86.0",https://kde.org/announcements/frameworks/5/5.86.0/
Thursday, 2 September 2021,"KDE Gear 21.08.1",https://kde.org/announcements/gear/21.08.1/
Tuesday, 31 August 2021,"KDE Plasma 5.22.5, Bugfix Release for August",https://kde.org/announcements/plasma/5/5.22.5/
Friday, 13 August 2021,"KDE Ships Frameworks 5.85.0",https://kde.org/announcements/frameworks/5/5.85.0/
Thursday, 12 August 2021,"KDE Gear 21.08",https://kde.org/announcements/gear/21.08.0/
Tuesday, 27 July 2021,"KDE Plasma 5.22.4, Bugfix Release for July",https://kde.org/announcements/plasma/5/5.22.4/
Saturday, 10 July 2021,"KDE Ships Frameworks 5.84.0",https://kde.org/announcements/frameworks/5/5.84.0/
Thursday, 8 July 2021,"KDE Gear 21.04.3",https://kde.org/announcements/gear/21.04.3/
Tuesday, 6 July 2021,"KDE Plasma 5.22.3, Bugfix Release for July",https://kde.org/announcements/plasma/5/5.22.3/
Tuesday, 22 June 2021,"KDE Plasma 5.22.2, Bugfix Release for June",https://kde.org/announcements/plasma/5/5.22.2/
Tuesday, 15 June 2021,"KDE Plasma 5.22.1, Bugfix Release for June",https://kde.org/announcements/plasma/5/5.22.1/
Saturday, 12 June 2021,"KDE Ships Frameworks 5.83.0",https://kde.org/announcements/frameworks/5/5.83.0/
Thursday, 10 June 2021,"KDE Gear 21.04.2",https://kde.org/announcements/gear/21.04.2/
Tuesday, 8 June 2021,"Plasma 5.22",https://kde.org/announcements/plasma/5/5.22.0/
Thursday, 13 May 2021,"KDE Gear 21.04.1",https://kde.org/announcements/gear/21.04.1/
Thursday, 13 May 2021,"Plasma 5.22 Beta: The Quest for Stability and Usability",https://kde.org/announcements/plasma/5/5.21.90/
Saturday, 8 May 2021,"KDE Ships Frameworks 5.82.0",https://kde.org/announcements/frameworks/5/5.82.0/
Tuesday, 4 May 2021,"KDE Plasma 5.21.5, Bugfix Release for May",https://kde.org/announcements/plasma/5/5.21.5/
Thursday, 22 April 2021,"KDE Gear 21.04",https://kde.org/announcements/gear/21.04/
Saturday, 10 April 2021,"KDE Ships Frameworks 5.81.0",https://kde.org/announcements/frameworks/5/5.81.0/
Tuesday, 6 April 2021,"KDE Plasma 5.21.4, Bugfix Release for April",https://kde.org/announcements/plasma/5/5.21.4/
Tuesday, 30 March 2021,"KDE Plasma 5.18.7, Bugfix Release for March",https://kde.org/announcements/plasma/5/5.18.7/
Tuesday, 16 March 2021,"KDE Plasma 5.21.3, Bugfix Release for March",https://kde.org/announcements/plasma/5/5.21.3/
Saturday, 13 March 2021,"KDE Ships Frameworks 5.80.0",https://kde.org/announcements/frameworks/5/5.80.0/
Thursday, 4 March 2021,"20.12.3 Releases",https://kde.org/announcements/releases/20.12.3/
Tuesday, 2 March 2021,"KDE Plasma 5.21.2, Bugfix Release for March",https://kde.org/announcements/plasma/5/5.21.2/
Tuesday, 23 February 2021,"KDE Plasma 5.21.1, Bugfix Release for February",https://kde.org/announcements/plasma/5/5.21.1/
Tuesday, 16 February 2021,"Plasma 5.21",https://kde.org/announcements/plasma/5/5.21.0/
Saturday, 13 February 2021,"KDE Ships Frameworks 5.79.0",https://kde.org/announcements/frameworks/5/5.79.0/
Thursday, 4 February 2021,"KDE's February 2021 Apps Update",https://kde.org/announcements/releases/2021-02-apps-update/
Thursday, 21 January 2021,"Plasma 5.21 Beta",https://kde.org/announcements/plasma/5/5.20.90/
Saturday, 9 January 2021,"KDE Ships Frameworks 5.78.0",https://kde.org/announcements/frameworks/5/5.78.0/
Thursday, 7 January 2021,"KDE's January 2021 Apps Update",https://kde.org/announcements/releases/2021-01-apps-update/
Tuesday, 5 January 2021,"KDE Plasma 5.20.5, Bugfix Release for January",https://kde.org/announcements/plasma/5/5.20.5/
Saturday, 12 December 2020,"KDE Ships Frameworks 5.77.0",https://kde.org/announcements/frameworks/5/5.77.0/
Thursday, 10 December 2020,"KDE's December 2020 Apps Update",https://kde.org/announcements/releases/2020-12-apps-update/
Tuesday, 1 December 2020,"KDE Plasma 5.20.4, Bugfix Release for December",https://kde.org/announcements/plasma/5/5.20.4/
Sunday, 15 November 2020,"Introducing the PinePhone - KDE Community edition",https://kde.org/announcements/plasma-mobile/pinephone-plasma-mobile-edition/
Tuesday, 10 November 2020,"KDE Plasma 5.20.3, Bugfix Release for November",https://kde.org/announcements/plasma/5/5.20.3/
Saturday, 7 November 2020,"KDE Ships Frameworks 5.76.0",https://kde.org/announcements/frameworks/5/5.76.0/
Thursday, 5 November 2020,"KDE's November 2020 Apps Update",https://kde.org/announcements/releases/2020-11-apps-update/
Tuesday, 27 October 2020,"KDE Plasma 5.20.2, Bugfix Release for October",https://kde.org/announcements/plasma/5/5.20.2/
Tuesday, 20 October 2020,"KDE Plasma 5.20.1, Bugfix Release for October",https://kde.org/announcements/plasma/5/5.20.1/
Tuesday, 13 October 2020,"Plasma 5.20: One absolutely massive release",https://kde.org/announcements/plasma/5/5.20.0/
Saturday, 10 October 2020,"Release of KDE Frameworks 5.75.0",https://kde.org/announcements/frameworks/5/5.75.0/
Friday, 9 October 2020,"KDE's October 2020 Apps Update",https://kde.org/announcements/releases/2020-10-apps-update/
Tuesday, 29 September 2020,"KDE Plasma 5.18.6, Bugfix Release for September",https://kde.org/announcements/plasma/5/5.18.6/
Wednesday, 16 September 2020,"Plasma 5.20 Beta: one absolutely massive release",https://kde.org/announcements/plasma/5/5.19.90/
Sunday, 6 September 2020,"Release of KDE Frameworks 5.74.0",https://kde.org/announcements/frameworks/5/5.74.0/
Thursday, 3 September 2020,"KDE's September 2020 Apps Update",https://kde.org/announcements/releases/2020-09-apps-update/
Tuesday, 1 September 2020,"KDE Plasma 5.19.5, Bugfix Release for September",https://kde.org/announcements/plasma/5/5.19.5/
Thursday, 13 August 2020,"KDE's August 2020 Apps Update",https://kde.org/announcements/releases/2020-08-apps-update/
Saturday, 1 August 2020,"Release of KDE Frameworks 5.73.0",https://kde.org/announcements/frameworks/5/5.73.0/
Tuesday, 28 July 2020,"KDE Plasma 5.19.4, Bugfix Release for July",https://kde.org/announcements/plasma/5/5.19.4/
Thursday, 9 July 2020,"KDE's July 2020 Apps Update",https://kde.org/announcements/releases/2020-07-apps-update/
Tuesday, 7 July 2020,"KDE Plasma 5.19.3, Bugfix Release for July",https://kde.org/announcements/plasma/5/5.19.3/
Saturday, 4 July 2020,"Release of KDE Frameworks 5.72.0",https://kde.org/announcements/frameworks/5/5.72.0/
Tuesday, 23 June 2020,"KDE Plasma 5.19.2, Bugfix Release for June",https://kde.org/announcements/plasma/5/5.19.2/
Tuesday, 16 June 2020,"KDE Plasma 5.19.1, Bugfix Release for June",https://kde.org/announcements/plasma/5/5.19.1/
Thursday, 11 June 2020,"KDE's June 2020 Apps Update",https://kde.org/announcements/releases/2020-06-apps-update/
Tuesday, 9 June 2020,"Plasma 5.19: A more Polished Plasma",https://kde.org/announcements/plasma/5/5.19.0/
Saturday, 6 June 2020,"Release of KDE Frameworks 5.71.0",https://kde.org/announcements/frameworks/5/5.71.0/
Friday, 15 May 2020,"KDE's May 2020 Apps Update",https://kde.org/announcements/releases/2020-05-apps-update/
Thursday, 14 May 2020,"Plasma 5.19 Beta: Consistency, Control and Usability",https://kde.org/announcements/plasma/5/5.18.90/
Tuesday, 5 May 2020,"KDE Plasma 5.18.5, Bugfix Release for May",https://kde.org/announcements/plasma/5/5.18.5/
Saturday, 2 May 2020,"Release of KDE Frameworks 5.70.0",https://kde.org/announcements/frameworks/5/5.70.0/
Thursday, 23 April 2020,"KDE's April 2020 Apps Update",https://kde.org/announcements/releases/2020-04-apps-update/
Sunday, 5 April 2020,"Release of KDE Frameworks 5.69.0",https://kde.org/announcements/frameworks/5/5.69.0/
Tuesday, 31 March 2020,"KDE Plasma 5.18.4, Bugfix Release for March",https://kde.org/announcements/plasma/5/5.18.4/
Tuesday, 10 March 2020,"KDE Plasma 5.18.3, Bugfix Release for March",https://kde.org/announcements/plasma/5/5.18.3/
Saturday, 7 March 2020,"Release of KDE Frameworks 5.68.0",https://kde.org/announcements/frameworks/5/5.68.0/
Thursday, 5 March 2020,"KDE's March 2020 Apps Update",https://kde.org/announcements/releases/2020-03-apps-update/
Tuesday, 25 February 2020,"KDE Plasma 5.18.2, Bugfix Release for February",https://kde.org/announcements/plasma/5/5.18.2/
Tuesday, 18 February 2020,"KDE Plasma 5.18.1, Bugfix Release for February",https://kde.org/announcements/plasma/5/5.18.1/
Tuesday, 11 February 2020,"KDE Plasma 5.18: More Convenient and with Long Term Stability",https://kde.org/announcements/plasma/5/5.18.0/
Thursday, 6 February 2020,"KDE's February 2020 Apps Update",https://kde.org/announcements/releases/2020-02-apps-update/
Sunday, 2 February 2020,"Release of KDE Frameworks 5.67.0",https://kde.org/announcements/frameworks/5/5.67.0/
Thursday, 16 January 2020,"Plasma 5.18 LTS Beta: More Convenient and with Long Term Stability",https://kde.org/announcements/plasma/5/5.17.90/
Saturday, 11 January 2020,"Release of KDE Frameworks 5.66.0",https://kde.org/announcements/frameworks/5/5.66.0/
Thursday, 9 January 2020,"KDE's January 2020 Apps Update",https://kde.org/announcements/releases/2020-01-apps-update/
Thursday, 9 January 2020,"19.12.1 Releases",https://kde.org/announcements/releases/19.12.1/
Tuesday, 7 January 2020,"KDE Plasma 5.17.5, Bugfix Release for January",https://kde.org/announcements/plasma/5/5.17.5/
Saturday, 14 December 2019,"Release of KDE Frameworks 5.65.0",https://kde.org/announcements/frameworks/5/5.65.0/
Thursday, 12 December 2019,"KDE's December 2019 Apps Update",https://kde.org/announcements/releases/2019-12-apps-update/
Thursday, 12 December 2019,"19.12 Releases",https://kde.org/announcements/releases/19.12/
Tuesday, 3 December 2019,"KDE Plasma 5.17.4, Bugfix Release for December",https://kde.org/announcements/plasma/5/5.17.4/
Friday, 29 November 2019,"19.12 RC Releases",https://kde.org/announcements/releases/19.12-rc/
Tuesday, 12 November 2019,"KDE Plasma 5.17.3, Bugfix Release for November",https://kde.org/announcements/plasma/5/5.17.3/
Sunday, 10 November 2019,"Release of KDE Frameworks 5.64.0",https://kde.org/announcements/frameworks/5/5.64.0/
Thursday, 7 November 2019,"KDE Ships Applications 19.08.3",https://kde.org/announcements/applications/19.08.3/
Tuesday, 29 October 2019,"KDE Plasma 5.17.2, Bugfix Release for October",https://kde.org/announcements/plasma/5/5.17.2/
Tuesday, 22 October 2019,"KDE Plasma 5.17.1, Bugfix Release for October",https://kde.org/announcements/plasma/5/5.17.1/
Tuesday, 15 October 2019,"KDE Plasma 5.17: Thunderbolt, X11 Night Color and Redesigned Settings",https://kde.org/announcements/plasma/5/5.17.0/
Monday, 14 October 2019,"Release of KDE Frameworks 5.63.0",https://kde.org/announcements/frameworks/5/5.63.0/
Thursday, 10 October 2019,"KDE Ships Applications 19.08.2",https://kde.org/announcements/applications/19.08.2/
Thursday, 19 September 2019,"KDE Plasma 5.17 Beta: Thunderbolt, X11 Night Color and Redesigned Settings",https://kde.org/announcements/plasma/5/5.16.90/
Saturday, 14 September 2019,"Release of KDE Frameworks 5.62.0",https://kde.org/announcements/frameworks/5/5.62.0/
Tuesday, 10 September 2019,"KDE Plasma 5.12.9, Bugfix Release for September",https://kde.org/announcements/plasma/5/5.12.9/
Thursday, 5 September 2019,"KDE Ships Applications 19.08.1",https://kde.org/announcements/applications/19.08.1/
Tuesday, 3 September 2019,"KDE Plasma 5.16.5, Bugfix Release for September",https://kde.org/announcements/plasma/5/5.16.5/
Thursday, 15 August 2019,"KDE Ships KDE Applications 19.08.0",https://kde.org/announcements/applications/19.08.0/
Saturday, 10 August 2019,"Release of KDE Frameworks 5.61.0",https://kde.org/announcements/frameworks/5/5.61.0/
Friday, 2 August 2019,"KDE Ships Release Candidate of KDE Applications 19.08",https://kde.org/announcements/applications/19.08-rc/
Tuesday, 30 July 2019,"KDE Plasma 5.16.4, Bugfix Release for July",https://kde.org/announcements/plasma/5/5.16.4/
Friday, 19 July 2019,"KDE Ships Beta of KDE Applications 19.08",https://kde.org/announcements/applications/19.08-beta/
Saturday, 13 July 2019,"Release of KDE Frameworks 5.60.0",https://kde.org/announcements/frameworks/5/5.60.0/
Thursday, 11 July 2019,"KDE Ships KDE Applications 19.04.3",https://kde.org/announcements/applications/19.04.3/
Tuesday, 9 July 2019,"KDE Plasma 5.16.3, Bugfix Release for July",https://kde.org/announcements/plasma/5/5.16.3/
